,words,weight,yes,no
776,allegorical,1,1,1
777,solvent,1,1,1
778,imbue,5,1,2
779,belie,0,2,1
780,draconian,1,1,1
781,nonplussed,5,1,2
782,illicit,0,2,1
783,tirade,0,2,1
784,contraband,1,1,1
785,vituperation,1,1,1
786,stalemate,5,1,2
787,purblind,5,1,2
788,mordant,1,1,1
789,prim,5,1,2
790,antipathy,12,1,3
791,flagrant,5,1,2
792,spurious,1,1,1
793,innuendo,0,2,1
794,connundrums,4,2,2
795,contrived,0,2,1
796,counterpoint,12,1,3
797,macabre,1,1,1
798,buttress,-1,3,1
799,candour,5,1,2
800,abacus,1,1,1
801,abate,1,1,1
802,abdication,1,1,1
803,abet,1,1,1
804,abeyance,1,1,1
805,abhor,1,1,1
806,abide,-1,3,1
807,abjure,1,1,1
808,abraded,1,1,1
809,abrogate,0,2,1
810,abscond,0,2,1
811,abstruse,-1,3,1
812,abut,4,2,2
813,abysmal,1,1,1
814,acarpous,11,2,3
815,acclaimed,1,1,1
816,accolade,1,1,1
817,accretion,5,1,2
818,adamant,1,1,1
819,admonitory,1,1,1
820,adorn,-1,3,1
821,adulteration,1,1,1
822,affable,1,1,1
823,affinity,0,2,1
824,aggravate,0,2,1
825,agile,1,1,1
826,agog,0,2,1
827,ail,1,1,1
828,alacrity,1,1,1
829,alcove,5,1,2
830,allegiance,1,1,1
831,alleviate,-1,3,1
832,alloy,1,1,1
833,aloof,-2,4,1
834,amalgamate,0,2,1
835,ambidextrous,1,1,1
836,ambiguous,-2,4,1
837,ambivalent,1,1,1
838,ameliorate,0,2,1
839,amortize,1,1,1
840,anguish,0,2,1
841,animosity,1,1,1
842,antidote,1,1,1
843,apartheid,-1,3,1
844,aplomb,1,1,1
845,apostate,1,1,1
846,apotheosis,5,1,2
847,appease,1,1,1
848,apprehensive,0,2,1
849,apprise,1,1,1
850,approbation,1,1,1
851,apropos,5,1,2
852,apt,1,1,1
853,arabesque,1,1,1
854,arboreal,12,1,3
855,arduous,1,1,1
856,argot,1,1,1
857,arrant,5,1,2
858,arrogance,1,1,1
859,articulate,1,1,1
860,ascend,1,1,1
861,ascertain,1,1,1
862,ascribe,1,1,1
863,aseptic,1,1,1
864,asperity,0,2,1
865,aspersion,12,1,3
866,assuage,1,1,1
867,asterisk,0,2,1
868,astringent,5,1,2
869,astute,1,1,1
870,atonement,0,2,1
871,attenuate,1,1,1
872,attune,5,1,2
873,audacious,-1,3,1
874,augury,0,2,1
875,august,5,1,2
876,auspicious,-2,4,1
877,austere,1,1,1
878,auxiliary,0,2,1
879,aversion,-1,3,1
880,avid,0,2,1
881,avow,22,1,4
882,baleful,1,1,1
883,balk,-1,3,1
884,barrage,1,1,1
885,barren,0,2,1
886,bask,0,2,1
887,beatify,12,1,3
888,bedizen,5,1,2
889,belabor,1,1,1
890,bellicose,1,1,1
891,belligerent,-2,4,1
892,benefactor,1,1,1
893,benevolence,1,1,1
894,benign,1,1,1
895,bequest,4,2,2
896,berate,5,1,2
897,bereft,0,2,1
898,bewilder,1,1,1
